TFBS-name fold-change pvalue adj-pvalue number-of-hits
Mafb 1.5728977696542 9.93819182483076e-21 5.52526995031876e-20 510
MAFG 1.82012132536577 2.24666489671455e-20 1.23770811582638e-19 564
ZBTB18 1.564307590068 3.5999382427891e-20 1.96537168930648e-19 521
FOXP2 1.5472098054256 4.07343543824952e-20 2.20401953176715e-19 537
RARA-RXRA-DR3 1.57236201137319 6.34904225145689e-20 3.40488460564856e-19 523
RARA-RXRA-IR4 1.66170897882886 8.1350617733488e-20 4.32442757425384e-19 551
FIGLA 1.65029648115176 1.37707751229831e-19 7.25659976045891e-19 554
FOXP1 1.54546979925834 4.13757406630402e-19 2.16152576222434e-18 506
TFAP4 1.7309823492593 7.26345926787176e-19 3.76209941566691e-18 579
POU4F3 1.75335987454294 9.74391717762816e-19 5.00407949969717e-18 566
MSC 1.6589575408209 1.1119758640284e-18 5.66266700505218e-18 565
REST 1.54372026910925 1.07193536106261e-17 5.41327357336618e-17 483
FOXL1 1.51593959160701 1.9827221904986e-17 9.92999708629879e-17 499
TBP 1.63431218958136 2.29487095598654e-17 1.13991131092446e-16 552
Gfi1b 1.50528670155899 2.49739349835121e-17 1.23042313821206e-16 504
ZSCAN4 1.51582018653885 3.81629240394053e-17 1.86505902966771e-16 506
THAP1 1.49661301683445 4.63581626817564e-17 2.24744372681155e-16 499
NFIC-TLX1 1.59029407138166 5.21309529928192e-17 2.5072505963213e-16 534
HIC2 1.49327610568158 6.37634343792999e-17 3.04257017589415e-16 500
Nr1h3-Rxra 1.52085620963656 7.57966386939193e-17 3.58849711316524e-16 508
TWIST1 1.52242416151512 1.33495020306855e-16 6.27116141906619e-16 495
BACH2 1.55577048113279 1.42896340251877e-16 6.6611678609721e-16 514
CTCFL 1.51405759806985 2.85586745841726e-16 1.32111120595485e-15 497
RARA-RXRA-ER8 1.60235590334175 3.82140659898447e-16 1.75437302953378e-15 513
Bach1-Mafk 1.52809222368167 4.14283937115364e-16 1.88763959317226e-15 493
NFIC 1.48219681457325 5.37644469503418e-16 2.4314369292468e-15 498
SP4 1.49498048739806 1.72943873176987e-15 7.76325830705588e-15 494
SOX9 1.47222788785848 1.84896168818937e-15 8.23875575766736e-15 515
RARA-RXRA-IR8 1.57446705661385 3.97041807025704e-15 1.7562579201283e-14 508
MAFG-NFE2L1 1.45359881095117 9.18825352322781e-15 4.03484176454787e-14 505
Foxj2 1.46216338259432 1.44341788399887e-14 6.29288660218213e-14 481
NR1H4 1.45177686257069 1.67268972813549e-14 7.24035696607218e-14 492
FOXK2 1.46884891904559 4.3699488098134e-14 1.87814821187725e-13 471
VDR 1.45078307722209 4.86299770688085e-14 2.07533564110549e-13 464
FOXK1 1.45045059187692 5.43717347603131e-14 2.30414484368879e-13 484
Arid3b 1.6207610106052 7.26046886775305e-14 3.05544731517941e-13 540
MAF-NFE2 1.44991544391019 2.03095386454049e-13 8.48798649594165e-13 484
NFIX 1.43455002648249 2.24322226946597e-13 9.31090887189298e-13 472
Nfe2l2 1.44162188458604 2.32914864490989e-13 9.60179645452648e-13 482
RARA-RXRA-ER1 1.5046842964305 1.62327778964287e-12 6.64666446299717e-12 491
RUNX1 1.40933495840341 2.16237366470402e-12 8.79462040812506e-12 471
Hoxd8 1.6307818559297 4.15472969246968e-12 1.67851079575775e-11 531
RORB 1.40662378406747 4.96094969735833e-12 1.99095067324447e-11 464
RARA-RXRA-IR5 1.48932814552072 7.5101184889e-12 2.99416566070618e-11 483
RARA-RXRA-ER3 1.47839786365551 8.2962163867912e-12 3.2859523728075e-11 497
CDX2 1.40145565592907 8.75227955607275e-12 3.44407883829876e-11 468
Hoxd3 1.48818786120655 9.70922442642304e-12 3.79599354994346e-11 485
RARA-RXRA-IR7 1.47250178129333 2.6416299133055e-11 1.02617162016868e-10 486
CTCF 1.4229151241798 3.50005782147589e-11 1.35097773236585e-10 445
Klf12 1.39351129837536 4.00950153948138e-11 1.53782147653527e-10 454
Foxq1 1.38440300255159 4.17175249818618e-11 1.58998868798794e-10 481
MNX1 1.44949821867488 4.75204935684504e-11 1.79983869390506e-10 494
Hoxb5 1.46637790809238 6.22419672791317e-11 2.34277218454371e-10 491
SNAI2 1.37646409528529 6.43416519276567e-11 2.40685438692345e-10 466
Arid3a 1.38975675493965 8.46147975756804e-11 3.14580167674002e-10 483
TFAP2B 1.51659716172744 9.27461252965153e-11 3.42708243473709e-10 524
Rhox11 1.40437404470498 1.27454893147635e-10 4.68107062105861e-10 441
