TFBS-name fold-change pvalue adj-pvalue number-of-hits
Mafb 1.54822486346354 3.01272976768477e-19 1.2529612271424e-18 502
HOXB3 1.60137218536733 3.01868546473253e-19 1.2529612271424e-18 530
ZIC3 1.57625849686721 4.39377365210591e-19 1.81131077086815e-18 508
NFIC 1.53577019341325 4.46270501453997e-19 1.82729678298055e-18 516
TEAD2 1.52142245030939 1.21261507175315e-18 4.93184384887522e-18 517
TWIST1 1.55933141391548 1.35605602358089e-18 5.47846633526679e-18 507
NOTO 1.64776073594462 2.19974499593523e-18 8.82811567905131e-18 551
LBX2 1.60949037083212 5.01112728694345e-18 1.99785732624193e-17 523
GBX2 1.58969615842586 7.06123643009723e-18 2.79680344878361e-17 536
MAFK 1.74040599943697 8.73251882974558e-18 3.43630286417261e-17 541
mix-a 1.64990930055708 1.55799876104408e-17 6.09127257543686e-17 566
Dlx4 1.59905770792042 2.01323937670443e-17 7.82066065565952e-17 523
GBX1 1.62374351983713 2.30734730942847e-17 8.90606668480033e-17 513
PROP1 1.69836761177916 3.60534860855807e-17 1.38281092201657e-16 569
ZIC1 1.5291533978528 5.01071402972735e-17 1.90974383774514e-16 506
FOXP2 1.49246681417218 7.40810104783551e-17 2.8058182718677e-16 518
INSM1 1.49941764434583 7.66417610139362e-17 2.88477684313325e-16 500
TFAP4 1.67417981966357 1.60631407969451e-16 6.00880452033872e-16 560
RARA-RXRA-IR4 1.58028222306048 5.71624903617083e-16 2.12518215700584e-15 524
KLF4 1.48331706816129 7.83366482733589e-16 2.89463468619851e-15 493
FOXK2 1.50315324624199 8.08284579656624e-16 2.96860881982978e-15 482
Hand1-Tcf3 1.46918179777035 1.20987021176019e-15 4.41675511040167e-15 497
PPARG 1.54550303486847 3.04051476528143e-15 1.10332451961709e-14 502
Foxj2 1.47432274544333 3.32543986946996e-15 1.19953366720166e-14 485
EMX2 1.5851047491184 3.54340259887459e-15 1.27059288456686e-14 533
MEOX2 1.55561745485296 3.99631681022841e-15 1.42456940411672e-14 530
EMX1 1.5583219945226 4.08282572361192e-15 1.44550906833701e-14 546
RARA-RXRA-IR7 1.56642679203426 4.10276501244167e-15 1.44550906833701e-14 517
GATA2 1.47290876996201 5.08717473605469e-15 1.78198143933477e-14 479
GSC 1.46813739221508 5.36671262977753e-15 1.86909646761217e-14 488
LMX1B 1.56259673482306 8.11630447253191e-15 2.81056029163105e-14 535
MAFF 1.6391839220072 8.20278798497984e-15 2.82436904482829e-14 533
E2F6 1.46266889176423 9.72954357780745e-15 3.33113186901204e-14 494
HOXA13 1.46882353408637 1.39945812149322e-14 4.76444731249939e-14 505
KLF14 1.46469065111735 1.50296753635941e-14 5.08825881024472e-14 494
Nr1h3-Rxra 1.47594903809217 1.59805068408283e-14 5.38010396974554e-14 493
HOXA10 1.48761322792946 2.25900415697919e-14 7.56329568579774e-14 495
Nkx2-5 1.47793237215387 2.41064133550841e-14 8.02664093031923e-14 514
Dlx2 1.54430809759386 2.67360633386327e-14 8.85358163017019e-14 520
NKX6-2 1.49931169905695 2.92674442947129e-14 9.63916915358479e-14 521
RORA(var.2) 1.4494215501214 4.41035080946163e-14 1.444687886775e-13 482
NKX6-1 1.49945644956472 6.40581244431015e-14 2.08705502217847e-13 528
NFIC-TLX1 1.5217982593184 6.44546519732812e-14 2.08874433667425e-13 511
TFAP2B 1.60631951289834 7.41095245199916e-14 2.3888495669742e-13 555
FOXK1 1.44745379313337 7.71870560330753e-14 2.47488655852083e-13 483
Sox17 1.448352670116 7.95642943541258e-14 2.53768223045264e-13 462
FIGLA 1.52518375153376 8.34667108863623e-14 2.64821082707516e-13 512
HOXA2 1.49640205938021 8.73366903877195e-14 2.7565642903624e-13 496
EVX2 1.51104021473576 8.86728962567128e-14 2.78423705344912e-13 496
HOXB2 1.49743806787584 1.09355101423485e-13 3.41593770425938e-13 499
ISX 1.52236904966321 1.30944012946254e-13 4.06933701771434e-13 505
MEOX1 1.51417930863591 1.426910447034e-13 4.41177413725819e-13 531
Dlx3 1.51227146688673 1.93798300830171e-13 5.96151118289766e-13 478
MIXL1 1.55091530003052 2.0180023450249e-13 6.17631020750044e-13 517
LHX2 1.55346004835666 2.12554078159488e-13 6.47275232988189e-13 525
VAX2 1.53172311570932 2.17995325373722e-13 6.60525835882377e-13 494
ALX3 1.52022199702851 2.61414458328306e-13 7.88145083318177e-13 517
Hoxd9 1.46041874849246 3.19498274688669e-13 9.58494824066006e-13 495
Nobox 1.46846222904363 3.92451878492841e-13 1.17155585402296e-12 503
TFAP2A(var.2) 1.57910060566939 4.55037556761325e-13 1.35172921273217e-12 513
EGR3 1.45785667987167 5.19987579145649e-13 1.53713401445007e-12 476
VAX1 1.50471200332124 6.47772140443786e-13 1.90558212188803e-12 535
