TFBS-name fold-change pvalue adj-pvalue number-of-hits
CDX2 1.68778465917352 1.87887385119024e-14 1.08437862268694e-13 259
REST 1.71175490424992 1.97020730814063e-14 1.12636380069172e-13 260
Atoh1 1.8784155670638 2.10889948342444e-14 1.19438606257496e-13 314
FOXP2 1.68995742398233 2.3709001060098e-14 1.33033839281661e-13 261
SMAD2-SMAD3-SMAD4 1.72208671569323 2.48218364669682e-14 1.3800030182553e-13 256
Shox2 1.83043981083142 2.73879586153659e-14 1.5088275382647e-13 281
MNX1 1.82252126513509 3.47897774502519e-14 1.89933379593267e-13 277
TP53 1.98601719953023 4.33684519084923e-14 2.34654302290592e-13 302
VSX2 1.85167888067361 4.82176908001354e-14 2.58583368361788e-13 280
Hoxb5 1.84313209224934 7.47717035727203e-14 3.97470634781302e-13 272
GBX2 1.77759596001556 8.12912367535267e-14 4.28369473675106e-13 264
NOTO 1.81092772974392 9.16714254936814e-14 4.78904171113543e-13 284
Dlx3 1.75761732801257 2.28525541560627e-13 1.18364511269863e-12 258
TAL1-TCF3 1.78205826335638 2.82334524722888e-13 1.44995527103449e-12 274
RUNX1 1.64277060503756 3.34418143759002e-13 1.70300332031895e-12 255
CEBPA 1.68655740580866 4.37844802580273e-13 2.21111625303038e-12 251
GSX2 1.73612089253522 4.87905763594426e-13 2.4435610970101e-12 259
Hoxd3 1.78032019984785 1.1210773776348e-12 5.56863025284169e-12 264
EMX1 1.76526057123549 2.49562108289996e-12 1.22954989937998e-11 259
Sox6 1.61583747783559 4.19198507124625e-12 2.03597926167266e-11 244
Nobox 1.68713372510282 4.19962718991886e-12 2.03597926167266e-11 256
HOXB2 1.69941166806626 4.26031586109426e-12 2.04900905700248e-11 254
EMX2 1.76533487214303 5.95127922196369e-12 2.83974425866929e-11 274
TFAP2C(var.2) 1.84778947913991 6.105717796256e-12 2.89067576916495e-11 276
CTCFL 1.63729314413598 9.47486791537945e-12 4.4509844625736e-11 249
